title,link
DaVinci Resolve releases Photo Editor,https://www.blackmagicdesign.com/products/davinciresolve/photo
"A new spam policy for ""back button hijacking""",https://developers.google.com/search/blog/2026/04/back-button-hijacking
The Shinkansen,https://www.worksinprogress.news/p/the-secret-behind-japans-railways
Someone bought 30 WordPress plugins and planted a backdoor in all of them,https://anchor.host/someone-bought-30-wordpress-plugins-and-planted-a-backdoor-in-all-of-them/
GitHub Stacked PRs,https://github.github.com/gh-stack/
Roblox devs now need a subscription to share their games freely,https://devforum.roblox.com/t/new-publishing-requirements-evaluation-process-for-games/4573166
Distributed DuckDB Instance,https://github.com/citguru/openduck
Introspective Diffusion Language Models,https://introspective-diffusion.github.io/
TanStack Start Now Support React Server Components,https://tanstack.com/blog/react-server-components
Lean proved this program correct; then I found a bug,https://kirancodes.me/posts/log-who-watches-the-watchers.html
WiiFin – Jellyfin Client for Nintendo Wii,https://github.com/fabienmillet/WiiFin
Can Claude Fly a Plane?,https://so.long.thanks.fish/can-claude-fly-a-plane/
A soft robot has no problem moving with no motor and no gears,https://engineering.princeton.edu/news/2026/04/08/soft-robot-has-no-problem-moving-no-motor-and-no-gears
Lumina – a statically typed web-native language for JavaScript and WASM,https://github.com/nyigoro/lumina-lang
Design and implementation of DuckDB internals,https://duckdb.org/library/design-and-implementation-of-duckdb-internals/
Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,https://github.com/sterlingcrispin/nothing-ever-happens
Multi-Agentic Software Development Is a Distributed Systems Problem,https://kirancodes.me/posts/log-distributed-llms.html
Rust Threads on the GPU,https://www.vectorware.com/blog/threads-on-gpu/
US appeals court declares 158-year-old home distilling ban unconstitutional,https://nypost.com/2026/04/11/us-news/us-appeals-court-declares-158-year-old-home-distilling-ban-unconstitutional/
N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,https://ndaybench.winfunc.com
MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,https://github.com/lasect/pg_6502
"A name is succession, legacy and celebration in Japan's Kabuki theater",https://apnews.com/article/kabuki-name-succession-japan-tradition-theater-d1e9621bc91385498314f36e1481b6fd
Anastasia (1997) live action reference material,https://lostmediawiki.com/Anastasia_(partially_found_live-action_reference_material_for_Don_Bluth_animated_film;_1997)
Make tmux pretty and usable (2024),https://hamvocke.com/blog/a-guide-to-customizing-your-tmux-conf/
"Write less code, be more responsible",https://blog.orhun.dev/code-responsibly/
How to make Firefox builds 17% faster,https://blog.farre.se/posts/2026/04/10/caching-webidl-codegen/
Building a CLI for all of Cloudflare,https://blog.cloudflare.com/cf-cli-local-explorer/
Android now stops you sharing your location in photos,https://shkspr.mobi/blog/2026/04/android-now-stops-you-sharing-your-location-in-photos/
I just want simple S3,https://blog.feld.me/posts/2026/04/i-just-want-simple-s3/
Math Is Still Catching Up to the Mysterious Genius of Srinivasa Ramanujan (2024),https://www.quantamagazine.org/srinivasa-ramanujan-was-a-genius-math-is-still-catching-up-20241021/
