번호,제목,저자,구독자,평점,리뷰수,정상가,할인가,썸네일URL
1,"Part0: 문제 풀며 배우는 왕초보 Swift6 (무료, 2025, XCode 26 완벽 대응)",밤낮 코딩,400+,4.9,(52),무료,무료,https://cdn.inflearn.com/public/files/courses/338627/cover/01k31zj0znja3bgyv7f5514t1x?w=420
2,JetBrains와 Nebius가 함께하는 AI 기반 프로그래밍 강의 시리즈,JetBrains,"1,500+",4.8,(26),무료,무료,https://cdn.inflearn.com/public/files/courses/338946/cover/01k4w8fgmy1cdhegqmgd68kxg6?w=420
3,IntelliJ IDEA Conf 2025,JetBrains,"1,200+",5.0,(14),무료,무료,https://cdn.inflearn.com/public/files/courses/338359/cover/01k1jvx5fmtg6j3qseqq7fg7s2?w=420
4,Blender 3D 초보자를 위한 튜토리얼 귀여운 체리 케이크 모델링!,masshiro,300+,5.0,(14),무료,무료,https://cdn.inflearn.com/public/files/courses/338920/cover/01k4vtbz2mfyty151g62yhjnt1?w=420
5,클로드 코드 완벽 마스터: AI 개발 워크플로우 기초부터 실전까지,짐코딩,"5,800+",4.9,(611),"₩198,000","₩198,000",-
6,누구보다 빠르게 시작하는 클로드 코드 | 전자책,Neo,100+,4.6,(13),"₩16,500","₩9,900",https://cdn.inflearn.com/public/files/courses/341479/cover/01km20wzp6vjt3ktrbypcga854?w=420
7,컴맹도 따라하는 주식 바이브코딩 - AI로 만드는 주식매매 자동화,얄팍한 코딩사전,-,5.0,(20),"₩154,000","₩77,000",https://cdn.inflearn.com/public/files/courses/341084/cover/01kmyx7by5fkf11k90syh84z7h?w=420
8,Jenkins를 활용한 CI/CD 입문 (with. AWS),JSCODE 시니,100+,5.0,(2),"₩77,000","₩53,900",https://cdn.inflearn.com/public/files/courses/341745/cover/01knp3d2krw9y7qp84kg18naf1?w=420
9,AI로 PPT 외주 받아 부수입 만들기,Sunny - 자동화&실전 IT!,-,-,-,"₩55,000","₩27,500",https://cdn.inflearn.com/public/files/courses/341726/cover/ai/1/3b145529-2268-4814-9ba3-c2968b5bf673.png?w=420
10,"나혼자 하는 코딩독학서, 코딩-레벨-업(입문-봄)",코딩고스트,-,-,-,"₩19,800","₩5,940",https://cdn.inflearn.com/public/files/courses/339021/cover/01k5eb0vq97x18as5kdc1p9sdh?w=420
11,[디펙업_ONE] 회사에서 쓰는 IT 시스템 한 방에 이해하기,디펙업,-,5.0,(2),"₩77,000","₩38,500",https://cdn.inflearn.com/public/files/courses/341417/cover/ai/2/bfab075d-63e3-4b79-a37b-000e4e1d1549.png?w=420
